Name,Category,File,File Name,分类,图标名,标签,Tag
message unread,Communicate,https://wentin.github.io/IconPark/source/Communicate/message-unread.svg,message-unread,交流,未读消息,"信息, 聊天, 通知, 社交, 沟通, 新消息, 评论","information, chat, notifications, social, communication, news, reviews"
lock,Base,https://wentin.github.io/IconPark/source/Base/lock.svg,lock,基础,锁定,"锁定, 锁死, 关闭","lock, locked, closed"
up and down,Build,https://wentin.github.io/IconPark/source/Build/up-and-down.svg,up-and-down,建筑,上下楼,上下楼 电梯 楼梯,on the elevator down stairs
french fries,Foods,https://wentin.github.io/IconPark/source/Foods/french-fries.svg,french-fries,餐饮,炸薯条,"薯条, 炸土豆, 土豆条","french fries, fried potatoes, fries"
consume,Base,https://wentin.github.io/IconPark/source/Base/consume.svg,consume,基础,消费,"总消耗, 花钱, 花费, 钱","total consumption, spend, spend, money"
delete one,Base,https://wentin.github.io/IconPark/source/Base/delete-one.svg,delete-one,基础,删除,"删除, 垃圾桶, 勒色桶","delete, trash, leatherhead barrel"
left small up,Arrows,https://wentin.github.io/IconPark/source/Arrows/left-small-up.svg,left-small-up,方向,左上-小,左上-小,top left - small
headphone sound,Music,https://wentin.github.io/IconPark/source/Music/headphone-sound.svg,headphone-sound,声音,耳机声音,耳机声音,headphone sound
rectangle tear,Abstract,https://wentin.github.io/IconPark/source/Abstract/rectangle-tear.svg,rectangle-tear,抽象,矩形撕裂,矩形撕裂,rectangular tear
level seven title,Edit,https://wentin.github.io/IconPark/source/Edit/level-seven-title.svg,level-seven-title,编辑,七级标题,"7号字体, 第七级别标题, 七级","7 font, seventh grade title, seven"
more three,Character,https://wentin.github.io/IconPark/source/Character/more-three.svg,more-three,符号,更多3,"更多, 圆形, 三点","more, round, three points"
data lock,Datas,https://wentin.github.io/IconPark/source/Datas/data-lock.svg,data-lock,数据库,数据锁定,数据锁定,data lock
overall reduction,Edit,https://wentin.github.io/IconPark/source/Edit/overall-reduction.svg,overall-reduction,编辑,整体缩小,整体缩小,overall narrow
perspective,Edit,https://wentin.github.io/IconPark/source/Edit/perspective.svg,perspective,编辑,透视,透视,perspective
distribute vertically,Edit,https://wentin.github.io/IconPark/source/Edit/distribute-vertically.svg,distribute-vertically,编辑,垂直分布,垂直分布���分布,the distribution of the vertical
plan,Edit,https://wentin.github.io/IconPark/source/Edit/plan.svg,plan,编辑,计划,"计划, 日期, 排期, 日历, 规划","program, date, schedule, calendar, planning"
list middle,ContentEdit,https://wentin.github.io/IconPark/source/ContentEdit/list-middle.svg,list-middle,内容编辑,列表,"列表, 中间, 居中","list, middle, center"
graphic design,Abstract,https://wentin.github.io/IconPark/source/Abstract/graphic-design.svg,graphic-design,抽象,图形设计,"图形设计, 几个, 组合, 拼接","graphic design, several combinations, stitching"
refraction,Abstract,https://wentin.github.io/IconPark/source/Abstract/refraction.svg,refraction,抽象,三角形,"三菱镜, 多进少出, 抽象, 几何","mitsubishi mirror, a little more into, abstract, geometric"
more one,Edit,https://wentin.github.io/IconPark/source/Edit/more-one.svg,more-one,编辑,更多1,"点, 三点, 更多","points, three points, more"
activity source,Charts,https://wentin.github.io/IconPark/source/Charts/activity-source.svg,activity-source,图表,活动源,"数据库, 数据, 数据源, 活动源","databases, data, data sources, active source"
h3,Edit,https://wentin.github.io/IconPark/source/Edit/h3.svg,h3,编辑,标题2,"标题, 文字, 文本","title, text, text"
instagram,Brand,https://wentin.github.io/IconPark/source/Brand/instagram.svg,instagram,品牌,instagram,"小视频, 短视频, logo, 社交, 图片分享, 国际社交, 社交平台","small video, short video, logo, social networking, photo sharing, international social, social platform"
ticket one,Office,https://wentin.github.io/IconPark/source/Office/ticket-one.svg,ticket-one,办公,票,"饭票, 电影票, 活动票, 门票, 优惠券","meal tickets, movie tickets, event tickets, tickets, coupons"
paragraph alphabet,Edit,https://wentin.github.io/IconPark/source/Edit/paragraph-alphabet.svg,paragraph-alphabet,编辑,字母段落,字母段落,paragraph letter
list bottom,ContentEdit,https://wentin.github.io/IconPark/source/ContentEdit/list-bottom.svg,list-bottom,内容编辑,列表,"列表, 底部, 最后","list, at the bottom, finally"
multi ring,Abstract,https://wentin.github.io/IconPark/source/Abstract/multi-ring.svg,multi-ring,抽象,多圆环,"关联, 圆环, 交集, 抽象","association, ring, intersection, abstract"
clothes cardigan,Clothes,https://wentin.github.io/IconPark/source/Clothes/clothes-cardigan.svg,clothes-cardigan,服饰,开衫,"衣服, 开衫, 服装","clothes, cardigan, clothing"
ordered list,Edit,https://wentin.github.io/IconPark/source/Edit/ordered-list.svg,ordered-list,编辑,有序列表,"列表, 序列, 排序","list, sequence, sort"
paragraph break,ContentEdit,https://wentin.github.io/IconPark/source/ContentEdit/paragraph-break.svg,paragraph-break,内容编辑,段落折行,"段落, 表格排版, 段落折行, 内容折行","paragraphs, tables layout, paragraph wrapped, wrapped content"
arrow left,Arrows,https://wentin.github.io/IconPark/source/Arrows/arrow-left.svg,arrow-left,方向,箭头左,"箭头, 左",arrow left
navigation,Others,https://wentin.github.io/IconPark/source/Others/navigation.svg,navigation,其它,导航,"指针, 方向, 指引, 指针, 导航","pointer, the direction guidance pointer navigation"
corner left up,Arrows,https://wentin.github.io/IconPark/source/Arrows/corner-left-up.svg,corner-left-up,方向,左角向上,"向上, 左角, 上, 左, 左边, 方向","up, left corner, on the left, the left direction"
abnormal,Office,https://wentin.github.io/IconPark/source/Office/abnormal.svg,abnormal,办公,异常,"报错, 提示, 提醒","error, reminders, alarms,"
click,Operate,https://wentin.github.io/IconPark/source/Operate/click.svg,click,操作,点击,"点击, 选中, 鼠标, 操作, 执行","click, selected, mouse, operation, execution"
formula,ContentEdit,https://wentin.github.io/IconPark/source/ContentEdit/formula.svg,formula,内容编辑,公式,"公式, 算法, 计算, 复杂, 数学","formulas, algorithms, computing, complex, math"
iron two,Life,https://wentin.github.io/IconPark/source/Life/iron-two.svg,iron-two,家居,熨斗,熨斗,iron
hair dryer one,Hardware,https://wentin.github.io/IconPark/source/Hardware/hair-dryer-one.svg,hair-dryer-one,硬件,吹风机,"吹风, 吹头发, 加热, 热风, 吹风, 吹造型","hair, hair blowing, heating, hot air blowing, blow molding"
level nine title,Edit,https://wentin.github.io/IconPark/source/Edit/level-nine-title.svg,level-nine-title,编辑,九级标题,"9号字体, 第九级别标题, 九级","no. 9 font, ninth grade title, nine"
slide,Base,https://wentin.github.io/IconPark/source/Base/slide.svg,slide,基础,幻灯片,"数据看版, 销售提报, 文稿演示","look version data, sales escalation, presentations"
pearl of the orient,Build,https://wentin.github.io/IconPark/source/Build/pearl-of-the-orient.svg,pearl-of-the-orient,建筑,东方明珠,"城楼, 阁楼, 房子, 楼房, 大厦, 办公楼","tower, loft, house, building, building, office building"
data file,Office,https://wentin.github.io/IconPark/source/Office/data-file.svg,data-file,办公,数据文件,"数据, 指标, 增长, 趋势","data, indicators, growth trend"
save,Base,https://wentin.github.io/IconPark/source/Base/save.svg,save,基础,保存,"保存, 存储, 暂存, 草稿","preservation, storage, staging, draft"
customer,Brand,https://wentin.github.io/IconPark/source/Brand/customer.svg,customer,品牌,小六客服,"客服, 聊天, 沟通, oceanengine","customer service, chat, communication, oceanengine"
upload one,Arrows,https://wentin.github.io/IconPark/source/Arrows/upload-one.svg,upload-one,方向,上传1,"上载, 上传, 云上载","upload, upload, upload cloud"
align text bottom,Edit,https://wentin.github.io/IconPark/source/Edit/align-text-bottom.svg,align-text-bottom,编辑,文字底对齐,"底对齐, 文字对齐","bottom alignment, text alignment"
trending down,Arrows,https://wentin.github.io/IconPark/source/Arrows/trending-down.svg,trending-down,方向,趋势下降,"下降, 向下, 降低, 下跌, 趋势","fall, down, lower, down, trend"
indent left,Edit,https://wentin.github.io/IconPark/source/Edit/indent-left.svg,indent-left,编辑,左缩进,左缩进,left indent
cutting,Edit,https://wentin.github.io/IconPark/source/Edit/cutting.svg,cutting,编辑,裁切,"裁剪, 剪切, 编辑","cut, cut, edit"
bottle three,Foods,https://wentin.github.io/IconPark/source/Foods/bottle-three.svg,bottle-three,餐饮,瓶装,"酒水, 瓶子, 容器, 塑料瓶, 玻璃瓶","drinks, bottles, containers, plastic bottles, glass bottles"
newspaper folding,Books,https://wentin.github.io/IconPark/source/Books/newspaper-folding.svg,newspaper-folding,书籍,报纸折叠,报纸折叠,newspaper folding
link,Base,https://wentin.github.io/IconPark/source/Base/link.svg,link,基础,链接,"回形针, 附件, 文件","paper clips, attachments, file"
send,Arrows,https://wentin.github.io/IconPark/source/Arrows/send.svg,send,方向,发送,"飞机, 发送, 飞书","aircraft, send, flying book"
milk,Foods,https://wentin.github.io/IconPark/source/Foods/milk.svg,milk,餐饮,牛奶,"水杯, 果汁, 汽水, 奶茶","cups, fruit juice, soft drinks, tea"
signal strength,Music,https://wentin.github.io/IconPark/source/Music/signal-strength.svg,signal-strength,声音,信号强度,信号强度,signal strength
mind mapping,ContentEdit,https://wentin.github.io/IconPark/source/ContentEdit/mind-mapping.svg,mind-mapping,内容编辑,脑图,"脑图, 思维导图, 结构图, 框架图","fig brain, mind maps, charts, the frame of fig."
bottle two,Foods,https://wentin.github.io/IconPark/source/Foods/bottle-two.svg,bottle-two,餐饮,瓶子,"酒水, 瓶子, 容器, 塑料瓶, 玻璃瓶","drinks, bottles, containers, plastic bottles, glass bottles"
symbol double x,Abstract,https://wentin.github.io/IconPark/source/Abstract/symbol-double-x.svg,symbol-double-x,抽象,双X符号,"双X符号, 抽象, 关闭, 道路, 十字路口","dual x symbols, abstract, closed roads, crossroads"
flashlight,Base,https://wentin.github.io/IconPark/source/Base/flashlight.svg,flashlight,基础,手电筒,"手电, 光芒, 点灯","flashlight, light, lighting"
communication,Communicate,https://wentin.github.io/IconPark/source/Communicate/communication.svg,communication,交流,沟通,"信息, 聊天, 通知, 社交, 沟通, 新消息, 合作洽谈, 评论","information, chat, notifications, social, communication, news, discuss cooperation, comments"
cake five,Foods,https://wentin.github.io/IconPark/source/Foods/cake-five.svg,cake-five,餐饮,蛋糕,"甜点, 糕点, 甜食, 甜品, 食物, 点心, 下午茶","desserts, pastries, sweets, desserts, food, snacks, afternoon tea"
lark,Brand,https://wentin.github.io/IconPark/source/Brand/lark.svg,lark,品牌,飞书,"协作, 办公, logo, 字节跳动","collaboration, office, logo, beating bytes"
node square,Edit,https://wentin.github.io/IconPark/source/Edit/node-square.svg,node-square,编辑,平头节点,端点类型,endpoint type
book open,Books,https://wentin.github.io/IconPark/source/Books/book-open.svg,book-open,书籍,书籍-打开,"书本, 笔记, 文件, 打开书本","books, notes, documents, open books"
paperclip,Office,https://wentin.github.io/IconPark/source/Office/paperclip.svg,paperclip,办公,回形针,"夹子, 针, 页签","clips, pins, tabs"
spoon,Foods,https://wentin.github.io/IconPark/source/Foods/spoon.svg,spoon,餐饮,铁勺,"餐具, 工具, 勺子","utensils, tools, spoon"
city,Build,https://wentin.github.io/IconPark/source/Build/city.svg,city,建筑,城市,"城市, 建筑, 楼房","city, architecture, building"
check,Character,https://wentin.github.io/IconPark/source/Character/check.svg,check,符号,校验,"勾选, 对勾, 正确, 成功, 完成","check, check mark, right, successfully completed"
weary face,Emoji,https://wentin.github.io/IconPark/source/Emoji/weary-face.svg,weary-face,表情,沮丧,沮丧,depression
whistling,Sports,https://wentin.github.io/IconPark/source/Sports/whistling.svg,whistling,运动,吹哨,"哨子, 吹哨, 比赛, 声音, 响声, 裁判, 犯规, 铃声, 音乐, 乐器","whistle, whistle, game, voice, sound, referee, foul, ringtones, music, musical instruments"
database config,Datas,https://wentin.github.io/IconPark/source/Datas/database-config.svg,database-config,数据库,数据库配置,数据库配置,database configuration
unlike,Base,https://wentin.github.io/IconPark/source/Base/unlike.svg,unlike,基础,不喜欢,"取消关注, 取消收藏, 爱, 爱心","unfollow, canceled collection, love, love"
slippers one,Clothes,https://wentin.github.io/IconPark/source/Clothes/slippers-one.svg,slippers-one,服饰,拖鞋,"鞋子, 凉鞋","shoes, sandals"
endpoint displacement,Edit,https://wentin.github.io/IconPark/source/Edit/endpoint-displacement.svg,endpoint-displacement,编辑,端点位移,端点位移,end displacement
weixin games,Others,https://wentin.github.io/IconPark/source/Others/weixin-games.svg,weixin-games,其它,微信游戏,"游戏, 玩, 娱乐","game, play, entertainment"
shopping cart add,Money,https://wentin.github.io/IconPark/source/Money/shopping-cart-add.svg,shopping-cart-add,钱财,添加购物车,"购物车, 添加, 买东西, 购物","shopping cart, add, to buy things, shopping"
database first,Datas,https://wentin.github.io/IconPark/source/Datas/database-first.svg,database-first,数据库,数据库第一,数据库第一,the first database
recent views sort,Charts,https://wentin.github.io/IconPark/source/Charts/recent-views-sort.svg,recent-views-sort,图表,按最近浏览量排序,"排序, 浏览, 最近, 查看数据, 查看, 数据, 图表","sort, browse, recently, to view data, view data, charts"
chinese pavilion,Build,https://wentin.github.io/IconPark/source/Build/chinese-pavilion.svg,chinese-pavilion,建筑,中国楼阁,"亭子, 古建筑, 寺庙","pavilion, ancient buildings, temples"
monitor,Base,https://wentin.github.io/IconPark/source/Base/monitor.svg,monitor,基础,摄像,"拍摄, 录像, 摄像机, 影像, 电影","filming, recording, video camera, video, movie"
align text right one,Edit,https://wentin.github.io/IconPark/source/Edit/align-text-right-one.svg,align-text-right-one,编辑,文字居右1,"文字对齐, 右对齐, 对齐","text alignment, right alignment, alignment"
bug,Base,https://wentin.github.io/IconPark/source/Base/bug.svg,bug,基础,程序问题,"八哥, 问题, 损坏, 事故, BUG, 问题, 程序问题, 报错","starling, problems, damage, accident, bug, ​​issues, procedural issues, error"
chart histogram two,Charts,https://wentin.github.io/IconPark/source/Charts/chart-histogram-two.svg,chart-histogram-two,图表,条形图,"柱形图, 图表","bar graph, chart"
vip,Character,https://wentin.github.io/IconPark/source/Character/vip.svg,vip,符号,VIP,"VIP, 加V","vip, plus v"
align text center one,Edit,https://wentin.github.io/IconPark/source/Edit/align-text-center-one.svg,align-text-center-one,编辑,文字居中1,"文字对齐, 中对齐, 对齐","text alignment, align, alignment"
pause one,Base,https://wentin.github.io/IconPark/source/Base/pause-one.svg,pause-one,基础,暂停,"停止播放, 暂停","stop play, pause"
three triangles,Abstract,https://wentin.github.io/IconPark/source/Abstract/three-triangles.svg,three-triangles,抽象,三个三角,三个三角,three triangle
switching done,Edit,https://wentin.github.io/IconPark/source/Edit/switching-done.svg,switching-done,编辑,切换完成,"更换, 完成, 对勾","replacement is completed, tick"
schedule,Office,https://wentin.github.io/IconPark/source/Office/schedule.svg,schedule,办公,日程表,"时间, 日历, 课程表, 日程, 记录, 牌子","time, calendar, curriculum, schedule, record, sign"
grid sixteen,Edit,https://wentin.github.io/IconPark/source/Edit/grid-sixteen.svg,grid-sixteen,编辑,16宫格,十六宫格,sixteen grids
ring,Connect,https://wentin.github.io/IconPark/source/Connect/ring.svg,ring,连接,圆环,"循环, 环形, 连接, 开源库, Open source library","loop, ring, connection, open library, open source library"
full selection,Edit,https://wentin.github.io/IconPark/source/Edit/full-selection.svg,full-selection,编辑,全选,"选择, 多选, 全部选择","choice, multiple choice, select all"
two dimensional code one,Edit,https://wentin.github.io/IconPark/source/Edit/two-dimensional-code-one.svg,two-dimensional-code-one,编辑,二维码,"扫描, 扫码, 扫一扫, 登录, 码, 付款码, 付款方式","scan, scan code, sweep swept away, log, code, code of payment, payment"
menu fold,Arrows,https://wentin.github.io/IconPark/source/Arrows/menu-fold.svg,menu-fold,方向,收起菜单,"收起, 左侧收起","away, put away the left"
data display,Datas,https://wentin.github.io/IconPark/source/Datas/data-display.svg,data-display,数据库,数据显示,数据显示,data display
dribble,Brand,https://wentin.github.io/IconPark/source/Brand/dribble.svg,dribble,品牌,追波,"logo, 设计, 社区, 分享, 国际设计师社区, design, designer, share","logo, design, community, sharing, international designer community, design, designer, share"
comment,Communicate,https://wentin.github.io/IconPark/source/Communicate/comment.svg,comment,交流,评论,"对话, 评论, 聊天, 消息, 通知","dialogue, comments, chat, messages, notifications"
goblet one,Foods,https://wentin.github.io/IconPark/source/Foods/goblet-one.svg,goblet-one,餐饮,高脚杯,"杯子, 酒杯, 杯","cups, glasses, cups"
left small,Arrows,https://wentin.github.io/IconPark/source/Arrows/left-small.svg,left-small,方向,左-小,"左, 箭头",left arrow
imbalance,Base,https://wentin.github.io/IconPark/source/Base/imbalance.svg,imbalance,基础,失衡天平,失衡天平,unbalanced balance
monument one,Build,https://wentin.github.io/IconPark/source/Build/monument-one.svg,monument-one,建筑,纪念碑,石碑,stele
node flat,Edit,https://wentin.github.io/IconPark/source/Edit/node-flat.svg,node-flat,编辑,方头节点,端点类型,endpoint type
lens alignment,Edit,https://wentin.github.io/IconPark/source/Edit/lens-alignment.svg,lens-alignment,编辑,镜头对准,镜头对准,lens at
scatter alignment,Edit,https://wentin.github.io/IconPark/source/Edit/scatter-alignment.svg,scatter-alignment,编辑,分散对齐,"文本对齐, 对齐方式, 排版, 排版方式, 对齐","text alignment, alignment, typesetting, layout mode, alignment"
chart pie,Charts,https://wentin.github.io/IconPark/source/Charts/chart-pie.svg,chart-pie,图表,饼图,"饼图, 占比, 比例","pie, accounting for the proportion of"
database proportion,Datas,https://wentin.github.io/IconPark/source/Datas/database-proportion.svg,database-proportion,数据库,数据库占比,数据库占比,database accounting
pyramid,Build,https://wentin.github.io/IconPark/source/Build/pyramid.svg,pyramid,建筑,金字塔,塔,tower
people delete,Peoples,https://wentin.github.io/IconPark/source/Peoples/people-delete.svg,people-delete,人群,删除用户,删除用户,delete users
inbox success,Base,https://wentin.github.io/IconPark/source/Base/inbox-success.svg,inbox-success,基础,收件成功,"收件箱, 收件, 成功, 完成, 邮件, 信件","inbox, write, completed successfully, e-mail, letter"
mosaic,Edit,https://wentin.github.io/IconPark/source/Edit/mosaic.svg,mosaic,编辑,马赛克,"模糊, 虚化, 遮盖, 擦除","blur, blur, cover, erasure"
qingniao clue,Brand,https://wentin.github.io/IconPark/source/Brand/qingniao-clue.svg,qingniao-clue,品牌,青鸟线索通,"商业化品牌, 品牌广告, oceanengine","commercial brand, brand advertising, oceanengine"
clothes gloves two,Clothes,https://wentin.github.io/IconPark/source/Clothes/clothes-gloves-two.svg,clothes-gloves-two,服饰,手套,"衣服, 服装, 服饰, 冷","clothes, clothing, apparel, cold"
bread,Foods,https://wentin.github.io/IconPark/source/Foods/bread.svg,bread,餐饮,面包,"面食, 食物, 零食, 早餐","pasta, food, snacks, breakfast"
smiling face with squinting eyes,Emoji,https://wentin.github.io/IconPark/source/Emoji/smiling-face-with-squinting-eyes.svg,smiling-face-with-squinting-eyes,表情,笑眯眼,笑眯眼,squinting smile
tomato,Foods,https://wentin.github.io/IconPark/source/Foods/tomato.svg,tomato,餐饮,番茄,"水果, 蔬菜, 西红柿","fruits, vegetables, tomatoes"
notepad,Books,https://wentin.github.io/IconPark/source/Books/notepad.svg,notepad,书籍,记事本,"记录, 账单, 条例","records, bills, regulations"
geometric flowers,Abstract,https://wentin.github.io/IconPark/source/Abstract/geometric-flowers.svg,geometric-flowers,抽象,几何花,"几何, 圆环, 抽象","geometry, circle, abstract"
tower,Build,https://wentin.github.io/IconPark/source/Build/tower.svg,tower,建筑,塔楼,"城楼, 阁楼, 寺庙, 教堂, 办公楼","tower, loft, temples, churches, office buildings"
disappointed face,Emoji,https://wentin.github.io/IconPark/source/Emoji/disappointed-face.svg,disappointed-face,表情,失落,失落,lose
graphic stitching,Abstract,https://wentin.github.io/IconPark/source/Abstract/graphic-stitching.svg,graphic-stitching,抽象,圆形组合,"圆形组合, 组合, 拼接","circular combinations, splice"
browser safari,Brand,https://wentin.github.io/IconPark/source/Brand/browser-safari.svg,browser-safari,品牌,浏览器-safari,"苹果浏览器, Safari","apple's browser, safari"
corner right down,Arrows,https://wentin.github.io/IconPark/source/Arrows/corner-right-down.svg,corner-right-down,方向,右角向下,"向下, 右角, 右边, 右, 右侧, 下, 方向","down, right angle, to the right, right, right, lower, direction"
align text bottom one,Edit,https://wentin.github.io/IconPark/source/Edit/align-text-bottom-one.svg,align-text-bottom-one,编辑,文字底对齐1,"文字对齐, 底对齐, 对齐","text alignment, a bottom alignment, alignment"
selected focus,Edit,https://wentin.github.io/IconPark/source/Edit/selected-focus.svg,selected-focus,编辑,选中焦点,选中焦点,select focus
writing fluently,Edit,https://wentin.github.io/IconPark/source/Edit/writing-fluently.svg,writing-fluently,编辑,编辑撰写,"编辑, 写, 书写, 书法, 记录","editing, writing, writing, calligraphy, record"
cone,Abstract,https://wentin.github.io/IconPark/source/Abstract/cone.svg,cone,抽象,圆锥,圆锥,tapered
insert table,Edit,https://wentin.github.io/IconPark/source/Edit/insert-table.svg,insert-table,编辑,插入表,表格 图表 表 插入,tables table insert
right one,Arrows,https://wentin.github.io/IconPark/source/Arrows/right-one.svg,right-one,方向,右1,右1,right 1
monument two,Build,https://wentin.github.io/IconPark/source/Build/monument-two.svg,monument-two,建筑,纪念碑,石碑,stele
switch contrast,Abstract,https://wentin.github.io/IconPark/source/Abstract/switch-contrast.svg,switch-contrast,抽象,切换对比,切换对比,switching contrast
adjacent item,ContentEdit,https://wentin.github.io/IconPark/source/ContentEdit/adjacent-item.svg,adjacent-item,内容编辑,相邻条目,相邻条目,adjacent entry
grinning face with squinting eyes,Emoji,https://wentin.github.io/IconPark/source/Emoji/grinning-face-with-squinting-eyes.svg,grinning-face-with-squinting-eyes,表情,笑眯眼,笑眯眼,squinting smile
phone off,Base,https://wentin.github.io/IconPark/source/Base/phone-off.svg,phone-off,基础,电话关闭,"电话, 呼叫, 通话, 关闭通话, 关闭, 关闭联系","phone, call, call, call close, close, close contact"
coat hanger,Clothes,https://wentin.github.io/IconPark/source/Clothes/coat-hanger.svg,coat-hanger,服饰,衣架,"衣服撑, 衣服架",clothes hold clothes rack
disk one,Hardware,https://wentin.github.io/IconPark/source/Hardware/disk-one.svg,disk-one,硬件,U盘1,"U盘, 硬盘, 储存, 硬件, 移动, 保存, 文件, 安全","u disk, hard disk, storage, hardware, move, save, file, security"
brdige three,Build,https://wentin.github.io/IconPark/source/Build/brdige-three.svg,brdige-three,建筑,桥,大桥,bridge
paper money,Others,https://wentin.github.io/IconPark/source/Others/paper-money.svg,paper-money,其它,钞票,"钞票, 钱财, 财产, 资金, 金融, 经济","money, money, property, funds, finance, economy"
pause,Base,https://wentin.github.io/IconPark/source/Base/pause.svg,pause,基础,暂停,"停止播放, 暂停","stop play, pause"
insert card,Money,https://wentin.github.io/IconPark/source/Money/insert-card.svg,insert-card,钱财,插卡,"插卡, 插入, 卡槽, 取款机","the card insertion slot, atm"
agreement,Office,https://wentin.github.io/IconPark/source/Office/agreement.svg,agreement,办公,协议,"文档, 规则, 详情, 文章, 短文, 合同","documents, rules, details, articles, essays, contract"
radio one,Hardware,https://wentin.github.io/IconPark/source/Hardware/radio-one.svg,radio-one,硬件,收音机,"播音, 音响, 广播, 通知, 喇叭, 声音, 乐器, 听音乐, 听书","broadcasting, audio, broadcast, notification, speakers, sound, musical instruments, music, listening to books"
zoom out,Base,https://wentin.github.io/IconPark/source/Base/zoom-out.svg,zoom-out,基础,缩小,"搜索, 查找, 缩小","search, find, narrow"
message,Communicate,https://wentin.github.io/IconPark/source/Communicate/message.svg,message,交流,信息,"聊天, 消息, 社交, 通讯, 沟通","chat, messaging, social networking, communication, communication"
align text middle,Edit,https://wentin.github.io/IconPark/source/Edit/align-text-middle.svg,align-text-middle,编辑,文字中间对齐,"文字居中对齐, 对齐, 居中","text align center, align, center"
oval love,Abstract,https://wentin.github.io/IconPark/source/Abstract/oval-love.svg,oval-love,抽象,椭圆爱心,椭圆爱心 喜欢,love like ellipse
data arrival,Charts,https://wentin.github.io/IconPark/source/Charts/data-arrival.svg,data-arrival,图表,数据到达,"任务完成, 完成, 结束, 成功, 数据","the task is completed, complete, end, successful, data"
grid four,Edit,https://wentin.github.io/IconPark/source/Edit/grid-four.svg,grid-four,编辑,四宫格,四宫格,four grids
align bottom,Edit,https://wentin.github.io/IconPark/source/Edit/align-bottom.svg,align-bottom,编辑,底对齐,"对齐, 底对齐, 下对齐","align bottom alignment, the alignment"
block eight,Others,https://wentin.github.io/IconPark/source/Others/block-eight.svg,block-eight,其它,俄罗斯方块,"俄罗斯方块, 拼接, 模块, 组合, 组件, 游戏, 娱乐, 乐高, 魔方","tetris, high stitching, modules, combined, components, games, entertainment, music, rubik's cube"
connection point two,Connect,https://wentin.github.io/IconPark/source/Connect/connection-point-two.svg,connection-point-two,连接,两点连接,"两点连接, 链接",two connecting link
facebook,Brand,https://wentin.github.io/IconPark/source/Brand/facebook.svg,facebook,品牌,脸书,"小视频, 短视频, logo, 社交, 社交平台","small video, short video, logo, social networking, social platform"
paragraph round,Edit,https://wentin.github.io/IconPark/source/Edit/paragraph-round.svg,paragraph-round,编辑,圆形段落,圆形段落,paragraph circular
ranking,Others,https://wentin.github.io/IconPark/source/Others/ranking.svg,ranking,其它,排行榜,"排行榜, 柱状图, 奖牌, 排名, 热榜","charts, bar charts, medals, ranking, hot list"
more,Edit,https://wentin.github.io/IconPark/source/Edit/more.svg,more,编辑,更多,"点, 三点, 更多","points, three points, more"
google,Brand,https://wentin.github.io/IconPark/source/Brand/google.svg,google,品牌,谷歌,"搜索, search, company, Google LLC, ","search, search, company, google llc,"
application one,Abstract,https://wentin.github.io/IconPark/source/Abstract/application-one.svg,application-one,抽象,应用,"受众分析, 抽象","audience analysis, abstract"
align text top one,Edit,https://wentin.github.io/IconPark/source/Edit/align-text-top-one.svg,align-text-top-one,编辑,文字顶对齐1,"文字对齐, 顶对齐, 对齐","text alignment, top alignment, alignment"
key,Base,https://wentin.github.io/IconPark/source/Base/key.svg,key,基础,钥匙,"钥匙, 答案, 开锁, 方法","keys, answer, unlock method"
thin,Sports,https://wentin.github.io/IconPark/source/Sports/thin.svg,thin,运动,瘦身,"胸, 身材, 瘦, 女人, 妩媚, 性感","chest, tall, thin, woman, charming, sexy"
road sign both,Base,https://wentin.github.io/IconPark/source/Base/road-sign-both.svg,road-sign-both,基础,方向标识,"方向标识, 方向, 指示牌, 多方向","directional signs, direction signs, multi-directional"
connect,Connect,https://wentin.github.io/IconPark/source/Connect/connect.svg,connect,连接,链接,"链接, 分享, 连接, 拓扑图, 图表","link, share, connect, topology map, chart"
building three,Build,https://wentin.github.io/IconPark/source/Build/building-three.svg,building-three,建筑,建筑,"建筑, 楼房, 建筑, 高楼","architecture, building, construction, high-rise"
mask,Health,https://wentin.github.io/IconPark/source/Health/mask.svg,mask,医疗健康,口罩,"传染, 传染科, 雾霾, 生病, 口罩","infection, epidemiology, haze, sick, masks"
cross ring two,Abstract,https://wentin.github.io/IconPark/source/Abstract/cross-ring-two.svg,cross-ring-two,抽象,魔比斯环,"魔比斯环, 循环, 双环","moebius strip, cyclic, bicyclic"
corner left down,Arrows,https://wentin.github.io/IconPark/source/Arrows/corner-left-down.svg,corner-left-down,方向,左角向下,"向下, 左角, 左下, 左, 左边, 下, 方向","down, left corner, lower left, left, left, down, direction"
forbid,Character,https://wentin.github.io/IconPark/source/Character/forbid.svg,forbid,符号,禁止,"禁止, 不允许","prohibited, not allowed"
avocado,Foods,https://wentin.github.io/IconPark/source/Foods/avocado.svg,avocado,餐饮,牛油果,"果子, 水果, 食物, 零食","fruit, fruit, food, snacks"
sun one,Weather,https://wentin.github.io/IconPark/source/Weather/sun-one.svg,sun-one,天气,太阳1,"阳光, 太阳, 晴朗","sun, sun, sunny"
clipboard,Books,https://wentin.github.io/IconPark/source/Books/clipboard.svg,clipboard,书籍,剪切板,"板, 画板, 黏贴板, 公告板","board, drawing board, adhesive boards, bulletin boards"
security,Office,https://wentin.github.io/IconPark/source/Office/security.svg,security,办公,安全,"保护伞, 雨伞","umbrella, umbrella"
